temperature_c,vibration,humidite_pct,pression_bar,heures_utilisation_jour,nb_alertes_7j,derniere_maintenance_jours,nb_interventions_12m,consommation_kwh_j,indice_usure,site,equipement_type,panne_30j,outlier_flag
55.45,7.02,28.63,2.93,19.39,3.0,132.0,15.0,370.343807,8.66,B,pompe,0,False
39.31,1.11,74.84,3.38,12.35,5.0,251.0,5.0,582.848399,41.36,C,pompe,0,False
93.43,1.47,52.79,7.57,5.74,1.0,294.0,11.0,242.068221,9.41,B,convoyeur,0,False
51.46,8.96,76.49,4.17,9.32,9.0,622.0,18.0,773.819673,1.0,B,pompe,0,False
83.69,6.86,49.95,3.04,9.79,17.0,67.0,4.0,706.677543,71.65,B,convoyeur,0,False
43.49,1.82,31.0,2.22,4.41,12.0,395.0,3.0,741.661669,79.66,B,pompe,0,False
53.19,17.52,14.92,1.39,0.88,8.0,515.0,0.0,315.663014,78.72,C,pompe,0,False
83.57,16.08,26.98,8.63,11.25,18.0,476.0,1.0,611.483137,62.5,C,compresseur,0,False
50.36,9.65,73.7,8.38,13.93,16.0,390.0,4.0,665.749638,21.77,C,compresseur,0,False
92.55,15.15,73.61,7.03,10.7,5.0,352.0,14.0,159.138742,68.3,C,compresseur,0,False
92.18,7.16,61.83,5.7,9.11,11.0,439.0,6.0,450.148972,72.22,B,pompe,0,False
56.88,3.46,73.16,4.36,4.97,11.0,38.0,1.0,826.498336,19.26,B,convoyeur,0,False
60.06,5.73,76.88,3.53,3.1,1.0,466.0,5.0,591.632174,98.74,C,pompe,0,False
36.93,0.64,81.7,9.28,14.8,4.0,65.0,0.0,558.976261,16.74,A,convoyeur,0,False
55.9,13.18,28.27,8.22,9.44,0.0,668.0,13.0,861.119111,98.06,C,pompe,0,False
58.45,1.07,18.44,7.08,11.08,9.0,702.0,9.0,736.437873,93.97,A,pompe,0,False
40.41,4.69,57.95,8.0,19.88,21.0,3.0,16.0,606.951184,45.18,B,compresseur,1,False
56.04,15.66,37.56,4.48,16.6,8.0,550.0,6.0,770.963472,6.56,A,convoyeur,0,False
53.85,18.45,50.47,4.43,13.03,1.0,510.0,2.0,701.643067,92.88,C,convoyeur,0,False
51.17,8.52,71.65,9.02,4.22,18.0,127.0,0.0,892.176003,27.24,A,compresseur,0,False
54.96,18.21,88.64,7.41,3.09,23.0,28.0,2.0,175.818902,52.52,A,convoyeur,1,False
66.32,5.83,53.01,7.2,20.82,10.0,437.0,8.0,203.488028,51.78,A,pompe,0,False
73.9,3.86,42.26,0.92,8.21,21.0,493.0,0.0,638.968314,67.74,B,pompe,0,False
53.5,8.87,49.43,1.8,14.46,17.0,104.0,7.0,972.712305,53.18,B,pompe,0,False
38.17,17.57,57.99,8.65,18.21,14.0,718.0,16.0,435.752042,15.46,B,convoyeur,0,False
45.36,14.66,28.53,6.11,19.81,12.0,78.0,12.0,0.0,3.81,A,convoyeur,0,False
39.97,4.25,57.45,2.74,15.2,1.0,8.0,10.0,816.992444,93.52,C,compresseur,0,False
79.15,16.68,67.01,4.26,14.38,2.0,676.0,14.0,687.81715,78.29,B,pompe,0,False
55.62,10.07,25.49,1.43,14.45,23.0,581.0,13.0,881.465623,91.91,C,pompe,0,False
79.48,12.05,14.24,1.05,10.94,3.0,580.0,3.0,779.556987,14.92,A,convoyeur,0,False
91.27,1.12,69.17,4.85,7.69,2.0,90.0,10.0,415.630089,78.84,A,compresseur,0,False
62.32,73.37,64.36,1.03,15.03,7.0,314.0,8.0,0.0,59.21,C,pompe,0,True
36.65,4.52,44.66,5.09,12.18,19.0,200.0,0.0,550.121054,74.35,B,pompe,0,False
52.92,12.47,81.01,8.82,13.94,3.0,661.0,10.0,533.573253,37.06,C,convoyeur,0,False
62.08,9.42,24.64,6.31,17.87,25.0,665.0,11.0,112.452688,28.38,B,compresseur,0,False
76.55,6.58,84.83,6.09,8.06,12.0,346.0,6.0,407.22147,40.21,B,pompe,0,False
43.69,14.04,72.27,0.98,17.78,17.0,617.0,5.0,722.584775,78.81,B,pompe,1,False
75.36,7.8,80.09,2.28,17.41,10.0,573.0,18.0,397.580519,10.98,A,compresseur,0,False
42.03,2.37,48.85,8.57,15.69,15.0,406.0,7.0,675.349304,19.91,B,convoyeur,0,False
82.48,11.94,55.67,8.53,1.64,3.0,274.0,14.0,817.849814,75.77,A,pompe,1,False
40.3,4.5,19.76,6.07,6.34,14.0,687.0,5.0,657.935042,84.2,B,pompe,0,False
49.51,8.77,43.9,3.86,4.01,3.0,210.0,18.0,442.2529,62.97,A,convoyeur,0,False
64.38,6.99,57.35,4.5,3.02,22.0,492.0,5.0,707.646704,12.31,C,pompe,0,False
43.45,5.63,48.06,5.02,1.62,13.0,30.0,16.0,370.819635,88.0,A,compresseur,1,False
38.26,2.35,26.62,2.72,8.09,9.0,493.0,7.0,33.304652,33.96,C,compresseur,0,False
68.38,3.1,30.27,3.05,11.27,25.0,361.0,17.0,942.836904,70.76,B,convoyeur,0,False
78.68,5.64,69.73,8.86,0.57,13.0,109.0,5.0,37.400027,84.64,C,convoyeur,0,False
58.69,14.4,68.38,5.78,10.47,9.0,720.0,11.0,152.913902,89.27,B,pompe,0,False
45.96,17.69,10.9,0.85,20.76,9.0,373.0,18.0,172.411181,33.23,A,convoyeur,1,False
78.18,5.61,18.33,5.6,21.95,10.0,166.0,73.92,205.223562,62.16,A,compresseur,0,True
79.61,15.63,19.01,6.16,19.8,10.0,49.0,8.0,340.657904,91.22,C,convoyeur,0,False
79.95,15.59,55.49,2.31,16.74,12.0,447.0,8.0,758.302401,14.25,B,convoyeur,0,False
69.91,17.61,48.16,4.45,5.46,6.0,439.0,11.0,1088.165366,88.83,A,pompe,0,False
85.03,18.41,69.9,8.63,13.89,11.0,194.0,1.0,360.021967,67.58,C,convoyeur,1,False
82.14,5.08,26.04,1.97,18.74,18.0,222.0,7.0,535.116883,79.76,C,convoyeur,0,False
