temperature_c,vibration,humidite_pct,pression_bar,heures_utilisation_jour,nb_alertes_7j,derniere_maintenance_jours,nb_interventions_12m,consommation_kwh_j,indice_usure,site,equipement_type,panne_30j
55.45,7.02,28.63,2.93,19.39,3,132,15,370.343807,8.66,B,pompe,0
39.31,1.11,74.84,3.38,12.35,5,251,5,582.848399,41.36,C,pompe,0
93.43,1.47,52.79,7.57,5.74,1,294,11,242.068221,9.41,B,convoyeur,0
51.46,8.96,76.49,4.17,9.32,9,622,18,773.819673,1.0,B,pompe,0
83.69,6.86,49.95,3.04,9.79,17,67,4,706.677543,71.65,B,convoyeur,0
43.49,1.82,31.0,2.22,4.41,12,395,3,741.661669,79.66,B,pompe,0
53.19,17.52,14.92,1.39,0.88,8,515,0,315.663014,78.72,,pompe,0
83.57,16.08,26.98,8.63,11.25,18,476,1,611.483137,62.5,C,compresseur,0
50.36,9.65,73.7,8.38,13.93,16,390,4,665.749638,21.77,C,compresseur,0
92.55,15.15,73.61,7.03,10.7,5,352,14,159.138742,68.3,C,compresseur,0
92.18,7.16,61.83,5.7,9.11,11,439,6,450.148972,72.22,B,pompe,0
56.88,3.46,73.16,4.36,4.97,11,38,1,826.498336,19.26,B,convoyeur,0
60.06,5.73,76.88,3.53,3.1,1,466,5,591.632174,98.74,C,pompe,0
36.93,0.64,81.7,9.28,14.8,4,65,0,558.976261,16.74,A,convoyeur,0
55.9,13.18,28.27,8.22,9.44,0,668,13,861.119111,98.06,C,pompe,0
58.45,1.07,18.44,7.08,11.08,9,702,9,736.437873,93.97,A,pompe,0
40.41,4.69,57.95,8.0,19.88,21,3,16,606.951184,45.18,B,compresseur,1
56.04,15.66,37.56,4.48,16.6,8,550,6,770.963472,6.56,A,convoyeur,0
53.85,18.45,50.47,4.43,13.03,1,510,2,701.643067,92.88,C,convoyeur,0
51.17,8.52,71.65,9.02,4.22,18,127,0,892.176003,27.24,A,compresseur,0
54.96,18.21,88.64,7.41,3.09,"23,00",28,2,175.818902,52.52,A,convoyeur,1
66.32,5.83,53.01,7.2,20.82,10,437,8,203.488028,51.78,A,pompe,0
73.9,3.86,42.26,0.92,8.21,21,493,0,638.968314,67.74,B,pompe,0
53.5,8.87,49.43,1.8,14.46,17,104,7,972.712305,53.18,B,pompe,0
38.17,17.57,57.99,8.65,18.21,14,718,16,435.752042,15.46,B,convoyeur,0
45.36,14.66,28.53,6.11,19.81,12,78,12,0,3.81,A,convoyeur,0
39.97,4.25,57.45,2.74,15.2,1,8,10,816.992444,93.52,C,compresseur,0
79.15,16.68,67.01,4.26,14.38,2,676,14,687.81715,78.29,B,pompe,0
55.62,10.07,25.49,1.43,14.45,23,581,13,881.465623,91.91,C,pompe,0
79.48,12.05,14.24,1.05,10.94,3,580,3,779.556987,14.92,A,convoyeur,0
91.27,1.12,69.17,4.85,7.69,2,90,10,415.630089,78.84,A,compresseur,0
62.32,73.37,64.36,1.03,15.03,7,314,8,0,59.21,C,pompe,0
36.65,4.52,44.66,5.09,12.18,19,200,0,550.121054,74.35,B,pompe,0
52.92,12.47,81.01,8.82,13.94,3,661,10,533.573253,37.06,C,convoyeur,0
62.08,9.42,24.64,6.31,17.87,25,665,11,112.452688,28.38,B,compresseur,0
76.55,6.58,84.83,6.09,8.06,12,346,6,407.22147,40.21,B,pompe,0
43.69,14.04,72.27,0.98,17.78,17,617,5,722.584775,78.81,B,pompe,1
75.36,7.8,80.09,2.28,17.41,10,573,18,397.580519,10.98,A,compresseur,0
42.03,2.37,48.85,8.57,15.69,15,406,7,675.349304,19.91,B,convoyeur,0
82.48,11.94,55.67,8.53,1.64,3,274,14,817.849814,75.77,A,pompe,1
40.3,4.5,19.76,6.07,6.34,14,687,5,657.935042,84.2,B,pompe,0
49.51,8.77,43.9,3.86,4.01,3,210,18,442.2529,62.97,A,convoyeur,0
64.38,6.99,57.35,4.5,3.02,22,492,5,707.646704,12.31,C,pompe,0
43.45,5.63,48.06,5.02,1.62,13,30,16,370.819635,88.0,A,compresseur,1
38.26,2.35,26.62,2.72,8.09,9,493,7,33.304652,33.96,C,compresseur,0
68.38,3.1,30.27,3.05,11.27,25,361,17,942.836904,70.76,B,convoyeur,0
78.68,5.64,69.73,8.86,0.57,13,109,5,37.400027,84.64,C,convoyeur,0
58.69,14.4,68.38,5.78,10.47,9,720,11,152.913902,89.27,B,pompe,0
45.96,17.69,10.9,0.85,20.76,9,373,18,172.411181,33.23,A,convoyeur,1
78.18,5.61,18.33,5.6,21.95,10,166,73.92,205.223562,62.16,A,compresseur,0
79.61,15.63,19.01,6.16,19.8,10,49,8,340.657904,91.22,C,convoyeur,0
79.95,15.59,55.49,2.31,16.74,12,447,8,758.302401,14.25,B,convoyeur,0
69.91,17.61,48.16,4.45,5.46,6,439,11,1088.165366,88.83,A,pompe,0
85.03,18.41,69.9,8.63,13.89,11,194,1,360.021967,67.58,C,convoyeur,1
82.14,5.08,26.04,1.97,18.74,18,222,7,535.116883,79.76,C,convoyeur,0
68.1,6.45,27.36,9.04,11.73,9,58,9,414.931117,57.77,A,compresseur,0
82.25,13.28,64.98,3.8,15.37,9,84,13,798.931147,2.25,B,convoyeur,1
64.25,12.71,14.51,3.69,2.47,16,170,14,360.567122,83.51,B,convoyeur,0
39.39,16.6,45.72,3.37,7.3,16,21,13,289.475573,623.7,C,convoyeur,1
54.74,3.3,18.04,9.05,4.23,23,129,9,493.90651,64.64,A,compresseur,0
40.45,15.63,57.33,8.46,0.51,23,236,0,765.275757,47.02,B,pompe,0
89.89,12.13,33.58,6.01,15.08,2,242,7,379.7055,23.39,A,pompe,0
63.85,7.25,62.15,2.96,14.25,5,167,15,901.359706,30.62,A,compresseur,0
73.59,9.01,24.23,1.66,5.21,5,548,17,223.837996,0.77,C,convoyeur,0
58.73,5.1,47.27,1.67,20.88,2,2282.57,9,685.620194,31.91,B,convoyeur,0
61.86,8.97,44.05,7.47,3.08,18,387,18,0,,A,convoyeur,0
36.52,12.09,38.97,4.36,12.2,6,347,5,65.100172,70.35,A,pompe,1
75.12,1.85,66.62,8.05,21.91,20,148,7,246.422551,84.3,A,pompe,0
53.01,4.44,84.32,3.3,3.38,24,302,16,489.653233,53.83,A,compresseur,0
61.71,8.1,87.06,4.68,10.91,10,389,11,600.110576,82.05,B,convoyeur,0
89.18,8.62,41.83,1.36,0.57,8,74,16,293.750255,60.12,C,pompe,0
60.3,3.52,88.14,2.77,10.17,15,129,18,266.603771,13.13,B,pompe,0
90.22,10.58,28.02,4.88,10.97,18,558,18,502.806136,79.14,C,convoyeur,0
65.08,18.33,35.41,6.84,14.65,13,267,7,408.508933,87.28,B,pompe,0
46.33,3.42,44.46,9.12,17.61,8,85,14,620.043905,86.67,C,pompe,0
71.69,3.56,25.38,2.86,6.14,5,210,3,369.09867,56.66,C,pompe,0
77.4,12.92,66.73,3.86,4.43,24,113,11,327.296928,21.81,B,convoyeur,1
70.64,18.15,60.59,,6.47,3,97,18,827.047007,27.75,A,compresseur,1
56.96,5.14,68.2,9.06,2.7,22,170,14,244.975755,66.08,C,pompe,0
80.68,17.65,11.12,6.51,11.15,13,730,16,556.690781,93.74,A,convoyeur,0
89.32,14.28,85.07,6.88,7.13,11,634,7,264.84925,87.42,C,pompe,0
76.4,7.85,36.2,1.58,2.71,24,268,9,6.044197,12.51,A,convoyeur,0
66.4,18.44,39.15,7.6,14.29,24,584,11,543.864283,90.0,B,compresseur,0
